EMP017,Dr. Meera Joshi,ABCDE3456C,8901-2345-6789,FEMALE,1979-12-21,meera.joshi@college.edu,meera.joshi@gmail.com,9876543217,Professor,ACTIVE,,2025-26
EMP018,Mr. Arjun Patel,FGHIJ7890D,9012-3456-7890,MALE,1991-06-14,arjun.patel@college.edu,arjun.patel@gmail.com,9876543218,Lecturer,ACTIVE,,2025-26
EMP019,Dr. Sneha Iyer,KLMNO1234E,0123-4567-8901,FEMALE,1983-10-05,sneha.iyer@college.edu,sneha.iyer@gmail.com,9876543219,Assistant Professor,ACTIVE,,2025-26
EMP020,Mr. Rohit Das,PQRST5678F,1234-5678-9013,MALE,1988-01-17,rohit.das@college.edu,rohit.das@gmail.com,9876543220,Assistant Professor,ACTIVE,,2025-26
EMP021,Dr. Pooja Menon,UVWXY9012G,2345-6789-0124,FEMALE,1981-04-28,pooja.menon@college.edu,pooja.menon@gmail.com,9876543221,Associate Professor,ACTIVE,,2025-26
EMP022,Mr. Nitin Gupta,ABCDE4567H,3456-7890-1235,MALE,1992-08-11,nitin.gupta@college.edu,nitin.gupta@gmail.com,9876543222,Lecturer,ACTIVE,,2025-26
EMP023,Dr. Asha Nair,FGHIJ8901J,4567-8901-2346,FEMALE,1977-11-03,asha.nair@college.edu,asha.nair@gmail.com,9876543223,Professor,ACTIVE,,2025-26
EMP024,Mr. Deepak Yadav,KLMNO2345K,5678-9012-3457,MALE,1989-03-29,deepak.yadav@college.edu,deepak.yadav@gmail.com,9876543224,Assistant Professor,ACTIVE,,2025-26
EMP025,Dr. Ritu Kapoor,PQRST6789L,6789-0123-4568,FEMALE,1980-07-24,ritu.kapoor@college.edu,ritu.kapoor@gmail.com,9876543225,Associate Professor,ACTIVE,,2025-26
EMP026,Mr. Karan Malhotra,UVWXY1234M,7890-1234-5679,MALE,1993-05-18,karan.malhotra@college.edu,karan.malhotra@gmail.com,9876543226,Lecturer,ACTIVE,,2025-26
EMP027,Dr. Shalini Bose,ABCDE5678N,8901-2345-6790,FEMALE,1982-09-15,shalini.bose@college.edu,shalini.bose@gmail.com,9876543227,Professor,ACTIVE,,2025-26
EMP028,Mr. Manish Sinha,FGHIJ9012P,9012-3456-7891,MALE,1986-12-30,manish.sinha@college.edu,manish.sinha@gmail.com,9876543228,Assistant Professor,ACTIVE,,2025-26
EMP029,Dr. Divya Chawla,KLMNO3456Q,0123-4567-8902,FEMALE,1985-01-09,divya.chawla@college.edu,divya.chawla@gmail.com,9876543229,Associate Professor,ACTIVE,,2025-26
EMP030,Mr. Akash Mishra,PQRST7890R,1234-5678-9014,MALE,1990-04-22,akash.mishra@college.edu,akash.mishra@gmail.com,9876543230,Lecturer,ACTIVE,,2025-26
EMP031,Dr. Bhavna Saxena,UVWXY2345S,2345-6789-0125,FEMALE,1978-06-27,bhavna.saxena@college.edu,bhavna.saxena@gmail.com,9876543231,Professor,ACTIVE,,2025-26
EMP032,Mr. Sanjay Kulkarni,ABCDE6789T,3456-7890-1236,MALE,1984-11-19,sanjay.kulkarni@college.edu,sanjay.kulkarni@gmail.com,9876543232,Assistant Professor,ACTIVE,,2025-26
EMP033,Dr. Lakshmi Pillai,FGHIJ0123U,4567-8901-2347,FEMALE,1981-08-07,lakshmi.pillai@college.edu,lakshmi.pillai@gmail.com,9876543233,Associate Professor,ACTIVE,,2025-26
EMP034,Mr. Harish Chandra,KLMNO4567V,5678-9012-3458,MALE,1988-02-26,harish.chandra@college.edu,harish.chandra@gmail.com,9876543234,Lecturer,ACTIVE,,2025-26
